algorithm,seed,F_0,F_1,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12
nsga2,42,19254.247657219566,4120.521854548114,249.76575872775348,189.280227913511,187.05645918960295,130.7534713924141,179.00777956775994,127.10218442561516,165.4258808752202,154.02138112734985,177.91658256471453,54.32311234083602,73.987575701574,55.088089753327104,55.78682338696731
nsga2,42,19254.480964427144,4119.9051702961115,241.46917533801235,194.0533008232082,185.9039110183463,137.34334166697184,178.90875226220192,127.07781665683419,165.2990701130148,154.06301017051885,178.72374668405462,52.48078586220336,73.31863537018793,55.38375343129725,55.48524007474855
nsga2,42,19281.882537724756,4060.5712751571327,235.2100875827406,184.41959778496238,146.35276413014108,135.58435747620356,179.8125607097939,127.27271624274661,165.33010700196508,154.06725362314248,177.92599956372592,80.66822192176281,101.58314370112333,55.237227325277246,56.03909364559186
nsga2,42,19275.946772675197,4070.670085703906,237.2446544059846,187.40525474076927,147.1146805606466,140.6243063191744,179.27282108011326,133.96920132962092,165.0602548132808,153.92482235923984,178.9567770781932,91.67999904055195,73.34488823733035,55.20032603665842,55.73056255254582
nsga2,42,19229.27664153045,4244.704393404462,337.6057530909656,228.39776514884312,191.92938212770852,143.02805599583343,179.59705937085403,110.1506872951285,163.30364093825193,77.31016192167668,155.62582695670005,59.489282108977804,42.572863265160024,55.07364599692869,55.41886188754244
nsga2,42,19235.362750336077,4185.425004121672,322.2400209911791,190.39656905542284,185.77721315906913,137.05189300118587,175.48298794996396,142.09764415473373,162.9880314386372,91.44143245156175,178.0687447956894,59.73092578928453,43.78318366124549,55.37494640263923,55.077949301608925
nsga2,42,19243.76020220213,4130.83200976674,250.9224214007298,187.36738927493158,186.28741540654707,150.1138538583383,177.9381795936403,135.45131154034408,173.49973409068392,152.89057470509758,178.71021910115132,51.64264164627146,44.023249155008905,55.14204414250118,55.51935911487048
nsga2,42,19349.604072941504,3995.8249234947016,211.4885989828091,133.24743901669976,143.13577087210103,135.60278279955466,178.03469750759606,143.00220897513867,165.15274098188888,152.7269870771094,179.37063009857152,97.03486731794726,102.80189151104125,55.142293264455056,102.76081170296439
nsga2,42,19276.380384839467,4069.5146005591805,238.64814017738072,187.40525474076927,143.59969075492734,141.92224559521563,179.60346465253158,134.11196259525508,165.16888789053993,153.93060384503676,179.25841926170412,91.67999904055195,73.46082967057654,55.11408363873826,55.629187513714534
nsga2,42,19229.543300051188,4244.317530793038,337.6057530909656,227.99866359505796,191.92933554719903,142.782042936838,179.56984979923217,110.84255896509583,163.2906641238042,77.31551929528939,155.62582695670005,59.488039629625675,42.57140726035563,55.093704713895555,55.41756322803568
nsga2,42,19235.210209961686,4185.708942030663,322.2400209911791,190.39656905542284,185.77721315906913,137.05189300118587,175.48298794996396,142.09764415473373,162.9880314386372,91.44143245156175,178.79372851880632,59.73092578928453,43.0808073535507,55.37494640263923,55.064446417826275
nsga2,42,19349.49176456177,3996.274030279276,211.5428649815085,134.05981992184036,143.16383768414585,133.92249728117028,179.07915218285177,142.61781985966482,165.15274098188888,152.7447384196928,179.5009356494084,97.03486731794726,102.79694133063224,55.14067379720024,102.76081170296439
nsga2,42,19276.66949537765,4069.120776060581,238.64814017738072,187.40525474076927,143.61640885523147,140.88365892898918,179.6131857532502,134.12453053837413,165.06015810448108,153.93060384503676,179.26005488598864,91.67999904055195,74.59480898747353,55.087288930762824,55.62555390584099
nsga2,42,19258.9939811385,4110.10547217996,238.9378048756013,187.06419215372242,186.37678281458076,141.91789028812366,179.60346465253158,124.87867043191001,165.16888789053993,152.12083374888897,179.83993576231052,91.67999904055195,41.04853657503188,55.07565956169163,55.79218939805021
nsga2,42,19240.263129903222,4148.971503036723,250.94421764899676,205.62755932709914,186.26241392957024,140.68718924243885,177.937961316189,135.45515620321927,166.95475811711486,155.54818372719689,178.7442888218449,50.328401582821364,40.486653080793126,55.14078005426004,55.38341038153605
nsga2,42,19265.892829725715,4084.615275909827,250.64154529478026,187.48156329485033,139.28372452384588,142.47884491567606,178.0251640131887,133.94297667835662,172.345663127222,169.57745453069822,179.39215776960845,92.01241972611341,43.91274036921644,55.106813795239574,55.3499702906491
nsga2,42,19255.915625031525,4112.036155034238,238.0496891794762,187.4820224536177,186.26241392957024,140.64554374295903,179.54913586912275,135.45515620321927,163.72368385146433,153.93537327746088,176.09202033989465,54.128211777573306,73.98540480470116,55.14158995962559,55.05021486390907
nsga2,42,19243.31595622722,4131.361295504829,250.8612632452661,187.36738927493158,186.83912390224108,149.96118972953047,177.9381795936403,135.4547138280076,173.49973409068392,152.89057470509758,178.74066216305872,51.63556176934013,44.023249155008905,55.032362755018866,55.26082494915194
nsga2,42,19305.45473525979,4012.885701301092,234.4936044387526,148.33766462226706,117.99167199973868,151.4204018520314,178.99837780249027,139.318694763405,176.62088477340563,153.93622035955582,178.20845400833002,99.13754447450867,108.21190410372279,57.70203414508885,55.14547749937167
nsga2,42,19242.171828517323,4138.205248172729,250.91653326650356,189.294334733882,191.7824453159774,140.8549572897623,178.01139322215582,136.73469725562703,165.7788084023002,173.17300281794914,169.53696939140247,51.549405291301625,40.976880732666395,55.06947492683731,55.822213272809044
nsga2,42,19350.86475919882,3994.1364032142096,211.4885989828091,133.24743901669976,141.00803818374902,135.60278279955466,178.03469750759606,143.10390677587213,165.11019478582256,152.94135868109944,179.37670579891278,96.67373242116426,105.03838328478176,55.142293264455056,102.76081170296439
nsga2,42,19304.826222034277,4015.2751688137546,234.4936044387526,152.28395011299457,117.91144648329664,151.4204018520314,178.99837780249027,139.318694763405,172.91979359529245,153.93622035955582,178.20845400833002,99.13754447450867,108.31606870145474,57.489960573549446,55.125223620199606
nsga2,42,19246.270731348865,4128.393609200415,250.99759071340566,188.15592044311688,185.9027127684059,142.7130629671059,178.12859937311327,135.44047085077406,172.55247119973546,152.89196756387256,178.8424204814247,59.34243934339449,43.95891155975407,55.51997026767379,55.06950298553995
nsga2,42,19247.387616118,4128.2769400049465,250.99759071340566,188.15012756537828,185.9027127684059,142.4825963439196,178.02641988854253,135.45453383740008,173.58993793502452,151.5374796283946,178.8075641555689,59.34243934339449,43.95891155975407,55.78457004577187,55.530237314014876
nsga2,42,19229.7719320781,4225.719859207214,337.59521312850745,209.1651101042557,193.02352705872607,143.0616971175027,179.7780044728725,126.77316489607955,166.1564388000931,77.47099957901777,154.97924272857819,59.47572273160992,41.624726327108604,55.093704713895555,55.3044451671943
nsga2,42,19235.649591937894,4182.357655744405,319.42884489105444,190.35819121282157,185.77721315906913,137.30217084852447,175.36181164309403,141.42436248128396,172.99813917004124,84.10116504279497,178.0687447956894,60.60770791412126,44.01108074681959,55.032778715920955,55.047634156993595
nsga2,42,19350.780697604103,3995.0874362190148,211.49157478738252,133.36394386811946,141.25889510242942,142.80618251637097,178.9554261253854,143.10343106630125,156.64268229405155,155.37150656729034,178.7973747348796,97.0851907736727,102.6788178232386,56.46614000581506,101.54868005567457
nsga2,42,19226.818975730992,4271.894536615615,361.4017853186636,228.39706002311718,192.05472413593776,143.0670395040348,177.93790344032627,102.34134018957234,163.11264595517528,66.00292494244533,151.4755118736867,59.58595453358556,43.61863444348672,55.1572730497012,55.34795200195313
nsga2,42,19226.85825941641,4271.889557098042,361.4017853186636,228.39477781080254,192.05472413593776,143.04923940437993,177.937767664206,102.34134018957234,163.11251764202706,66.00292494244533,151.4755118736867,59.58595453358556,43.61863444348672,55.17974310983777,55.34794021048735
nsga2,42,19242.16056192123,4138.489450180785,250.91653326650356,189.294334733882,191.7824453159774,140.9064614366424,178.01139322215582,136.73469725562703,165.79359914982197,173.17300281794914,170.13171219069343,50.85897163991764,40.911678924477904,55.180356331849374,55.822213272809044
nsga2,42,19241.276636878174,4147.734013972409,249.6824902841496,205.62755932709914,185.60485412948276,142.34857973543473,178.02159779143696,135.4294272881129,166.9307412658285,155.51809773480775,178.74423660153096,50.328401582821364,40.82825124670536,55.10667572160714,55.403542057826826
nsga2,42,19278.563614830662,4065.2154404075577,235.11669732654548,187.37686252934014,139.19993894811276,142.62035880247853,179.63389784396477,133.9115912420166,172.26023237219738,153.6725432352186,179.41759223251617,91.65739727899516,73.34488823733035,55.76867583136752,55.56258633452662
nsga2,42,19248.73093425145,4123.884774911529,245.35138372272783,188.15592044311688,184.88865167012486,142.7130629671059,178.12859937311327,135.67383302989722,177.49565933281383,152.89196756387256,178.85855740631982,59.34243934339449,44.89008149613182,55.471078624840445,55.72107530600658
nsga2,42,19279.563763768507,4064.179816989289,235.11669732654548,187.37686252934014,137.28995563062247,143.8553738312983,179.63389784396477,133.9115912420166,172.4862185003988,153.6725432352186,179.40705996281685,92.15902269919225,73.34488823733035,55.76867583136752,55.56218223953941
nsga2,42,19353.907640087138,3990.3090884905846,211.49768751876587,131.63558801433192,136.27390100222684,134.92393521378227,178.90188177096226,139.25787473854672,165.14870360313495,160.29979656957275,179.51043845359618,99.04250275062033,104.49188396926519,55.419620094794944,103.16025129901188
nsga2,42,19244.701548206147,4130.698717589662,250.9224214007298,187.00897290639557,186.45156772193215,150.1138538583383,177.9381795936403,135.29283941984824,173.49973409068392,152.89057470509758,178.70411622723185,51.88981194569948,44.0029759452199,55.358702875736036,55.51015073854324
nsga2,42,19286.1192137713,4051.2547217272177,212.42647632374647,188.23434142829072,143.20689558039004,143.6914365586039,179.35902328555338,143.40792897609685,165.470763290148,151.47247738375907,178.7707657902522,80.89235137111513,102.46814986150596,55.06973185985462,55.059790609523034
nsga2,42,19253.397401624632,4122.289956000569,251.46930445688713,189.22968193783117,187.31849860392427,130.7534713924141,179.00784116935483,127.10218442561516,165.16320049706206,154.02138112734985,177.83660523985088,52.76540495427998,73.987575701574,55.07478799683094,55.78682338696731
nsga2,42,19306.88227682681,4011.123936138947,234.4936044387526,148.33766462226706,113.06289517469833,151.4204018520314,178.99878215491083,142.34825586842925,175.2779940652474,157.3270151357905,178.0644218887517,99.13754447450867,108.21190410372279,57.70203414508885,55.1265821204765
nsga2,42,19307.757971579424,4010.841353228486,234.4936044387526,147.27489352912949,113.34765873505623,151.4204018520314,179.00719041370922,142.34825586842925,174.76909511783185,157.3270151357905,179.48847416205373,99.08011573681785,108.21190410372279,57.70203414508885,55.1265821204765
nsga2,42,19282.598458944292,4060.1204094243244,234.5014438533557,184.41959778496238,146.54671684380818,135.29229457369024,179.8246865795936,127.27271624274661,165.33010700196508,154.06725362314248,177.92599956372592,80.66822192176281,102.42997170879893,55.229532676789844,56.03909364559186
nsga2,42,19266.505335243375,4082.1272225362004,247.26487539067958,187.3782968448595,138.30713548528888,142.58213981601676,175.55439750201492,135.30862220563344,178.73417520103547,169.57530614583655,178.80697278149566,91.37410341633537,43.75198442058488,55.12344316016944,55.757606649199964
nsga2,42,19297.915868457112,4022.7102642509053,234.96208043448271,148.33766462226706,132.35098361633806,145.24741038693466,178.99570292203333,142.34825586842925,175.2779940652474,153.6832085723192,178.0644218887517,91.9481401810773,108.01133836194522,55.31060395450758,55.14904613365549
nsga2,42,19348.81329207667,3996.8356960136066,211.4885989828091,133.17802771482428,144.7891998712996,140.46826878782807,179.46301138873028,135.4117110611973,165.1481480309929,152.7269870771094,179.51411081969988,97.03528213554657,102.80189151104125,55.2329040430423,102.24423378258416
nsga2,42,19283.7310768642,4059.5495379906965,235.2100875827406,184.49475607195856,148.15791744196687,134.0614091645836,177.95370376644536,127.27271624274661,160.79277608193095,152.7889278778128,179.09879936893,80.66822192176281,107.755442740451,55.23871911127884,56.03909364559186
nsga2,42,19295.8188866093,4024.7683820302314,239.542591159347,148.33766462226706,132.35098361633806,137.4444329575104,178.99570292203333,142.34825586842925,175.2779940652474,156.10561272906497,178.6449626215603,91.9481401810773,108.21190410372279,55.31060395450758,55.0283492327044
nsga2,42,19278.050966837855,4065.3973669240486,235.11669732654548,187.4861471919994,139.19993894811276,142.6288023538992,179.63389784396477,133.94297667835662,172.26023237219738,154.02954562348816,179.3921036995211,91.67999904055195,72.8025083005107,55.76867583136752,55.56171626201432
nsga2,42,19247.469297997624,4124.301234042926,245.35138372272783,188.15592044311688,184.88865167012486,142.7130629671059,178.8811020319014,135.38063852138032,177.49565933281383,153.94816743673522,178.85024080974043,58.081846702140176,44.89008149613182,55.16285899674977,55.72107530600658
nsga2,42,19276.858067973295,4068.770903882215,238.45404993763114,187.40525474076927,143.61640885523147,140.9462132493127,179.6131857532502,134.12453053837413,165.0487461751283,153.93060384503676,178.7576191550386,92.32182169205474,74.59480898747353,55.087288930762824,55.62178528797002
nsga2,42,19253.685856294516,4122.285336306358,251.46930445688713,189.21376030239114,187.31849860392427,130.7534713924141,179.01054646861292,127.10218442561516,165.06082624365726,154.02138112734985,177.84867513062298,52.76540495427998,73.987575701574,55.19791158028995,55.78682338696731
nsga2,42,19275.65808404415,4070.6730275160335,237.2446544059846,187.42117637620927,147.1146805606466,140.6243063191744,179.27011578085518,133.96920132962092,165.16262906668558,153.92482235923984,178.94470718657888,91.67999904055195,73.34488823733035,55.07720245986383,55.73056255254582
nsga2,42,19242.294859774407,4138.17933834325,250.82398831869006,189.294334733882,191.7824453159774,140.8549572897623,178.01139322215582,136.73469725562703,165.7788084023002,173.17300281794914,169.64214555422538,51.549405291301625,40.976880732666395,55.06953493850653,55.822213272809044
nsga2,42,19243.118077388554,4138.123819873474,250.82398831869006,188.9743757609538,191.7824453159774,140.8549572897623,178.01139322215582,137.1475816220355,165.7788084023002,173.17300281794914,169.64214555422538,51.549405291301625,40.976880732666395,55.06953493850653,55.822213272809044
nsga2,42,19248.75864441241,4122.88464247461,245.35138372272783,187.37162683306698,184.88865167012486,142.7130629671059,178.12859937311327,135.70918177153436,177.54754701170995,152.89055457065814,178.77395373682668,60.42099653780581,44.89008149613182,55.15971843233462,55.72107530600658
nsga2,42,19346.379382388524,4001.1105434021174,211.85172777601016,135.1852232422898,146.8857231336679,140.47714254889308,179.26159524504016,135.47188486179923,165.16269601063237,153.92482235923984,179.51680836953773,91.67999904055195,102.56934506117929,55.07720245986383,102.48781620783433
nsga2,42,19227.180258218305,4271.788171852995,361.3804167183307,228.39042245941002,192.05465832364422,142.80045259302514,177.90787941412347,102.39865867976152,163.11264595517528,66.00292494244533,151.4755118736867,60.15896096110873,43.11009222122884,55.16597060304014,55.55588100128772
nsga2,42,19297.944984988408,4021.570296257059,234.96208043448271,148.33766462226706,130.600914858773,145.24741038693466,178.99570292203333,142.34825586842925,176.52328611834614,153.70515746901282,178.0644218887517,91.9481401810773,107.92413372027696,55.31016328713677,55.618909490082416
nsga2,42,19351.17924817764,3993.536977843022,212.21573625206005,134.8712749697053,135.0985225637851,142.80618251637097,179.02074995357768,142.39833983730432,165.17246683474872,152.72849718420622,178.7973747348796,97.17212963311906,102.69619676035713,55.14216390102461,101.55822893436397
nsga2,42,19354.987341537344,3987.66793634662,211.38724508175747,129.3338308335585,134.51292474118586,135.53462839541396,178.65689744954963,134.60319060450712,172.1976191721891,159.89745743267008,179.51430970516904,100.57426340484596,104.7762775849971,55.475789770815744,103.05376138192027
nsga2,42,19301.473278783596,4018.45678455888,236.8557335591448,133.24743901669976,141.00803818374902,145.39219163314115,177.9539884069257,151.84538002887209,165.11019478582256,154.0068691274228,179.37670579891278,96.63946703443906,105.03838328478176,55.142293264455056,57.9310278367973
nsga2,42,19293.206896609794,4033.584010255887,250.9973774598467,150.77380625651398,131.5113354568216,142.98883946470514,178.28318931704248,135.67158345594362,169.93080700533378,152.8761340654742,179.3273305049463,93.36689458835454,103.3786371395388,55.45059296293879,55.04222247085655
nsga2,42,19294.216316899456,4032.602618091017,250.91174464630998,147.3176673358622,131.29590803755124,142.98883946470514,168.55056916854227,149.0812165300106,174.93728355897423,153.83271011800008,176.6894795136477,94.37910636807783,96.4072560480407,57.80444462142051,55.32758222991027
nsga2,42,19230.000289030355,4202.3496970492115,320.26744106191876,205.62755932709914,185.77068387004329,137.49710798318134,178.02159779143696,135.29770786817645,166.9307412658285,90.18434729913206,178.73966941941725,49.79715018458501,40.88774074945523,55.10126658987159,55.403542057826826
nsga2,42,19227.512509366432,4268.5834684179,358.4572712743734,228.5527981797927,192.05356932633566,143.0489751883401,177.90089483498244,102.94487613316022,165.42673462568035,66.00292494244533,151.4755118736867,59.49434253583968,43.655069475883366,55.17953045670652,55.35589160074976
nsga2,42,19239.668287600904,4157.923724957894,249.8500890483056,209.00856121519897,194.2768329752991,134.047038866998,177.937583799417,129.51397176920554,165.7661946405081,157.48597016759305,178.78005816097286,49.019228468263265,43.77069879893344,55.06052148449682,55.00112028640261
nsga2,42,19240.018445462825,4156.190113875947,249.85278071076024,205.7182869739959,194.19429924823575,140.79114376297125,177.9379538791963,129.51397176920554,165.7738223649743,157.48597016759305,178.77844301721117,49.019228468263265,40.521148377407506,55.06052143990539,55.002251474702966
nsga2,42,19240.701521959058,4148.013418402657,249.6824902841496,206.07752344180733,185.60485412948276,142.38586817117576,178.02159779143696,135.4294272881129,166.37892530712801,155.51809773480775,178.74423660153096,50.328401582821364,40.82825124670536,55.10667572160714,55.402459113291464
nsga2,42,19303.2870906011,4016.208881389172,234.4936044387526,152.20325280660902,117.99167199973868,151.4204018520314,177.9458822817832,139.318694763405,176.62088477340563,153.937743014906,178.19163898094925,99.13754447450867,108.21190410372279,55.04896581962104,55.14547749937167
nsga2,42,19230.86204595402,4198.076157521797,315.7011480828801,205.62755932709914,185.77068387004329,145.3000854126056,178.02159779143696,135.34096548961895,166.9307412658285,87.79215046261561,177.87007552841746,49.833435231413624,40.88774074945523,55.10126658987159,55.3744538525505
nsga2,42,19267.744590342932,4072.9553404919297,272.2428626144699,151.61643134785015,139.28063795165633,154.4510111189541,179.10799165866447,133.09494248883408,175.30900876307368,170.25101168725513,178.04350137333637,92.20330307301131,43.73152497404431,55.0307878369841,55.14309565463648
nsga2,42,19236.079685995668,4182.290529534763,319.4703082761573,190.15191721382428,185.77721315906913,137.297755728926,175.36181164309403,141.42436248128396,172.99813917004124,84.23534802263256,178.0687447956894,60.60770791412126,44.01108074681959,55.10623959373692,55.04937338728179
nsga2,42,19294.96201379553,4026.843849486989,234.97269249967798,152.50244556160868,132.80159978779272,145.17370983340305,179.4616198447764,144.38975581698156,171.63205144558552,153.7041789139856,179.38550313892335,91.65326533928524,103.26141521173668,55.069341798825114,55.59921178687132
nsga2,42,19354.742007118213,3987.9979647999403,211.38724508175747,129.3338308335585,134.51292474118586,135.57894249564103,178.61940490487262,134.99670091100836,172.30619617266564,160.25239929532023,179.51076847157992,100.13334615325043,104.7863757822961,55.080781863149426,103.05376138192027
