total_cost,total_emission,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12
19513.7266,3894.12769,98.9601517,70.3321533,70.3042984,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.910637
19505.4766,3896.17505,101.786926,71.3869476,72.4698181,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,113.863586
19513.668,3894.14502,97.6416092,70.9756775,70.8900681,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19514.1328,3894.0415,100.904068,69.3647995,69.2382812,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19468.5898,3906.07568,114.28685,79.6566467,78.9566727,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,86.6071396
19495.1035,3898.83057,105.990494,73.5735931,73.7718658,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,106.171211
19478.6133,3903.25781,111.254921,77.091774,77.1429596,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,94.0176773
19514.0469,3894.05615,100.305367,69.831131,69.3707199,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19504.4551,3896.43213,103.117355,71.5843811,71.7871094,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,113.018288
19512.873,3894.33643,99.026001,70.5593185,70.6134415,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.308563
19513.2168,3894.25415,98.0855942,71.1482315,70.6329117,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.640564
19513.1953,3894.25952,97.9477997,70.8548126,71.0640259,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.640564
19498.8086,3897.86987,103.265228,73.786293,73.4135666,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,109.042244
19513.9609,3894.07275,99.7017212,70.0557404,69.7498322,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19509.0195,3895.28687,99.7753067,72.1139221,71.0755234,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,116.542297
19514.0898,3894.04907,100.594986,69.5174179,69.3949127,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19514.6348,3893.99438,104.257675,67.8019104,67.4475937,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19496.2422,3898.53442,104.383476,73.7397766,74.2550888,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,107.128944
19514.3164,3894.01709,102.14119,68.8983459,68.4676819,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.9473,3894.07568,99.6085892,70.1334991,69.7651825,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19487.7148,3900.7854,108.557236,74.7631989,75.4730835,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,100.713882
19510.7285,3894.86694,98.7797852,72.0744781,70.8200836,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,117.832947
19489.3887,3900.33643,107.490601,75.0947189,74.9243698,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,101.99778
19513.7148,3894.13135,97.97435,70.8689346,70.6638947,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19513.9473,3894.07568,99.6102676,70.0826035,69.8143463,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,119.999962
19502.5723,3896.90649,102.24028,72.6560516,72.8264999,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,111.784378
19507.9707,3895.54785,100.350891,71.7662506,71.6385727,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,115.751633
19504.2305,3896.48682,101.994873,72.0426331,72.4986572,179.999374,179.999649,179.999573,179.997787,179.998779,179.999588,119.999222,119.999512,119.999237,112.971199
